Image 0 - Predict: 3, True: 3
Image 274 - Predict: 9, True: 8
Image 275 - Predict: 2, True: 5
Image 276 - Predict: 0, True: 0
Image 277 - Predict: 1, True: 3
Image 278 - Predict: 5, True: 4
Image 279 - Predict: 8, True: 3
Image 280 - Predict: 0, True: 9
Image 281 - Predict: 0, True: 0
Image 282 - Predict: 2, True: 6
Image 283 - Predict: 0, True: 1
Image 284 - Predict: 9, True: 0
Image 285 - Predict: 0, True: 9
Image 286 - Predict: 1, True: 1
Image 287 - Predict: 8, True: 0
Image 288 - Predict: 5, True: 7
Image 289 - Predict: 9, True: 9
Image 290 - Predict: 0, True: 1
Image 291 - Predict: 1, True: 2
Image 292 - Predict: 2, True: 6
Image 293 - Predict: 1, True: 9
Image 294 - Predict: 1, True: 3
Image 295 - Predict: 0, True: 4
Image 296 - Predict: 2, True: 6
Image 297 - Predict: 0, True: 0
Image 298 - Predict: 0, True: 0
Image 299 - Predict: 2, True: 6
Image 300 - Predict: 0, True: 6
Image 301 - Predict: 0, True: 6
Image 302 - Predict: 8, True: 3
Image 303 - Predict: 0, True: 2
Image 304 - Predict: 8, True: 6
Image 305 - Predict: 9, True: 1
Image 306 - Predict: 8, True: 8
Image 307 - Predict: 6, True: 2
Image 308 - Predict: 0, True: 1
Image 309 - Predict: 6, True: 6
Image 310 - Predict: 0, True: 8
Image 311 - Predict: 0, True: 6
Image 312 - Predict: 8, True: 8
Image 313 - Predict: 6, True: 0
Image 314 - Predict: 0, True: 4
Image 315 - Predict: 6, True: 0
Image 316 - Predict: 0, True: 7
Image 317 - Predict: 2, True: 7
Image 318 - Predict: 2, True: 5
Image 319 - Predict: 8, True: 5
Image 320 - Predict: 2, True: 3
Image 321 - Predict: 0, True: 5
Image 322 - Predict: 0, True: 2
Image 323 - Predict: 6, True: 3
Image 324 - Predict: 2, True: 4
Image 325 - Predict: 6, True: 1
Image 326 - Predict: 6, True: 7
Image 327 - Predict: 6, True: 5
Image 328 - Predict: 6, True: 4
Image 329 - Predict: 8, True: 6
Image 330 - Predict: 8, True: 1
Image 331 - Predict: 4, True: 9
Image 332 - Predict: 6, True: 3
Image 333 - Predict: 6, True: 6
Image 334 - Predict: 6, True: 6
Image 335 - Predict: 9, True: 9
Image 336 - Predict: 8, True: 3
Image 337 - Predict: 9, True: 8
Image 338 - Predict: 6, True: 0
Image 339 - Predict: 7, True: 7
Image 340 - Predict: 1, True: 2
Image 341 - Predict: 6, True: 6
Image 342 - Predict: 6, True: 2
Image 343 - Predict: 6, True: 5
Image 344 - Predict: 0, True: 8
Image 345 - Predict: 8, True: 5
Image 346 - Predict: 2, True: 4
Image 347 - Predict: 6, True: 6
Image 348 - Predict: 8, True: 8
Image 349 - Predict: 9, True: 9
Image 350 - Predict: 9, True: 9
Image 351 - Predict: 2, True: 1
Image 352 - Predict: 9, True: 0
Image 353 - Predict: 6, True: 2
Image 354 - Predict: 6, True: 2
Image 355 - Predict: 6, True: 7
Image 356 - Predict: 2, True: 3
Image 357 - Predict: 2, True: 2
Image 358 - Predict: 0, True: 8
Image 359 - Predict: 9, True: 0
Image 360 - Predict: 4, True: 9
Image 361 - Predict: 0, True: 5
Image 362 - Predict: 8, True: 8
Image 363 - Predict: 0, True: 1
Image 364 - Predict: 2, True: 9
Image 365 - Predict: 9, True: 4
Image 366 - Predict: 2, True: 1
Image 367 - Predict: 0, True: 3
Image 368 - Predict: 2, True: 8
Image 369 - Predict: 8, True: 1
Image 370 - Predict: 6, True: 4
Image 371 - Predict: 9, True: 7
Image 372 - Predict: 0, True: 9
Image 373 - Predict: 8, True: 4
Image 374 - Predict: 1, True: 2
Image 375 - Predict: 0, True: 7
Image 376 - Predict: 6, True: 0
Image 377 - Predict: 9, True: 7
Image 378 - Predict: 8, True: 0
Image 379 - Predict: 0, True: 6
Image 380 - Predict: 0, True: 6
Image 381 - Predict: 6, True: 9
Image 382 - Predict: 2, True: 0
Image 383 - Predict: 0, True: 9
Image 384 - Predict: 8, True: 2
Image 385 - Predict: 2, True: 8
Image 386 - Predict: 9, True: 7
Image 387 - Pr
